2026-09-01 15:54:06,519 | Thread-23 (process_request_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 15:54:06,552 | Thread-5 (process_request_thread) | INFO | [MERGED-WS] P1 LEFT    remaining=[2, 3, 4]
2026-09-01 15:54:06,552 | Thread-5 (process_request_thread) | DEBUG | BROADCAST: {"type": "player_left", "id": 1, "active_players": [2, 3, 4]}
2026-09-01 15:54:06,596 | Thread-26 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 44762)
2026-09-01 15:54:06,895 | Thread-27 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 44776)
2026-09-01 15:54:07,220 | Thread-25 (process_request_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 15:54:07,220 | Thread-25 (process_request_thread) | INFO | [MERGED-WS] Spectator JOINED as P1
2026-09-01 15:54:07,220 | Thread-25 (process_request_thread) | DEBUG | BROADCAST: {"type": "player_joined", "id": 1, "active_players": [1, 2, 3, 4], "player_names": {}}
2026-09-01 15:54:07,220 | Thread-25 (process_request_thread) | DEBUG | RECV from P1: {"type": "lock_in", "class": 1}
2026-09-01 15:54:07,220 | Thread-25 (process_request_thread) | INFO | [MERGED-WS] P1 LOCKED IN as class 1
2026-09-01 15:54:07,221 | Thread-25 (process_request_thread) | DEBUG | BROADCAST: {"type": "lock_in", "class": 1, "sender": 1}
2026-09-01 15:54:07,271 | Thread-27 (process_request_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 15:54:07,299 | Thread-28 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 44778)
2026-09-01 15:54:07,648 | Thread-28 (process_request_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 15:54:10,523 | Thread-23 (process_request_thread) | INFO | [MERGED-WS] Spectator LEFT
2026-09-01 15:54:13,265 | Thread-18 (process_request_thread) | INFO | [MERGED-WS] Spectator LEFT
2026-09-01 15:54:13,329 | Thread-15 (process_request_thread) | INFO | [MERGED-WS] Spectator LEFT
2026-09-01 15:54:14,278 | Thread-27 (process_request_thread) | INFO | [MERGED-WS] Spectator LEFT
2026-09-01 15:54:18,661 | Thread-20 (process_request_thread) | INFO | [MERGED-WS] Spectator LEFT
2026-09-01 15:54:22,237 | Thread-9 (process_request_thread) | INFO | [MERGED-WS] P4 LEFT    remaining=[1, 2, 3]
2026-09-01 15:54:22,237 | Thread-9 (process_request_thread) | DEBUG | BROADCAST: {"type": "player_left", "id": 4, "active_players": [1, 2, 3]}
2026-09-01 15:54:24,061 | Thread-19 (process_request_thread) | INFO | [MERGED-WS] Spectator LEFT
2026-09-01 15:54:25,241 | Thread-7 (process_request_thread) | INFO | [MERGED-WS] P3 LEFT    remaining=[1, 2]
2026-09-01 15:54:25,241 | Thread-7 (process_request_thread) | DEBUG | BROADCAST: {"type": "player_left", "id": 3, "active_players": [1, 2]}
2026-09-01 15:54:26,242 | Thread-25 (process_request_thread) | INFO | [MERGED-WS] P1 LEFT    remaining=[2]
2026-09-01 15:54:26,242 | Thread-25 (process_request_thread) | DEBUG | BROADCAST: {"type": "player_left", "id": 1, "active_players": [2]}
2026-09-01 15:54:26,386 | Thread-4 (process_request_thread) | INFO | [MERGED-WS] Spectator LEFT
2026-09-01 15:54:26,890 | Thread-6 (process_request_thread) | INFO | [MERGED-WS] Spectator LEFT
2026-09-01 15:54:27,243 | Thread-8 (process_request_thread) | INFO | [MERGED-WS] P2 LEFT    remaining=[]
2026-09-01 15:54:27,244 | Thread-8 (process_request_thread) | DEBUG | BROADCAST: {"type": "player_left", "id": 2, "active_players": []}
2026-09-01 15:54:28,064 | Thread-13 (process_request_thread) | INFO | [MERGED-WS] Spectator LEFT
2026-09-01 15:54:28,090 | Thread-10 (process_request_thread) | INFO | [MERGED-WS] Spectator LEFT
2026-09-01 15:54:28,199 | Thread-12 (process_request_thread) | INFO | [MERGED-WS] Spectator LEFT
2026-09-01 15:54:28,353 | Thread-11 (process_request_thread) | INFO | [MERGED-WS] Spectator LEFT
2026-09-01 15:54:28,621 | Thread-14 (process_request_thread) | INFO | [MERGED-WS] Spectator LEFT
2026-09-01 15:54:29,342 | Thread-17 (process_request_thread) | INFO | [MERGED-WS] Spectator LEFT
2026-09-01 15:54:29,839 | Thread-16 (process_request_thread) | INFO | [MERGED-WS] Spectator LEFT
2026-09-01 15:54:31,143 | Thread-21 (process_request_thread) | INFO | [MERGED-WS] Spectator LEFT
2026-09-01 15:54:31,372 | Thread-22 (process_request_thread) | INFO | [MERGED-WS] Spectator LEFT
2026-09-01 15:54:31,782 | Thread-24 (process_request_thread) | INFO | [MERGED-WS] Spectator LEFT
2026-09-01 15:54:32,206 | Thread-26 (process_request_thread) | INFO | [MERGED-WS] Spectator LEFT
2026-09-01 15:54:32,675 | Thread-28 (process_request_thread) | INFO | [MERGED-WS] Spectator LEFT
2026-09-01 15:55:15,042 | Thread-29 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 59294)
2026-09-01 15:55:15,527 | Thread-30 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 59300)
2026-09-01 15:55:15,895 | Thread-29 (process_request_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 15:55:15,895 | Thread-29 (process_request_thread) | INFO | [MERGED-WS] Spectator JOINED as P1
2026-09-01 15:55:15,895 | Thread-29 (process_request_thread) | DEBUG | BROADCAST: {"type": "player_joined", "id": 1, "active_players": [1], "player_names": {}}
2026-09-01 15:55:15,895 | Thread-29 (process_request_thread) | DEBUG | RECV from P1: {"type": "lock_in", "class": 2}
2026-09-01 15:55:15,895 | Thread-29 (process_request_thread) | INFO | [MERGED-WS] P1 LOCKED IN as class 2
2026-09-01 15:55:15,895 | Thread-29 (process_request_thread) | DEBUG | BROADCAST: {"type": "lock_in", "class": 2, "sender": 1}
2026-09-01 15:55:15,895 | Thread-29 (process_request_thread) | DEBUG | RECV from P1: {"type": "force_start"}
2026-09-01 15:55:15,895 | Thread-29 (process_request_thread) | DEBUG | BROADCAST: {"type": "force_start", "sender": 1}
2026-09-01 15:55:15,895 | Thread-29 (process_request_thread) | DEBUG | RECV from P1: {"type": "force_start"}
2026-09-01 15:55:15,895 | Thread-29 (process_request_thread) | DEBUG | BROADCAST: {"type": "force_start", "sender": 1}
2026-09-01 15:55:15,903 | Thread-30 (process_request_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 15:55:15,903 | Thread-30 (process_request_thread) | INFO | [MERGED-WS] Spectator JOINED as P2
2026-09-01 15:55:15,903 | Thread-30 (process_request_thread) | DEBUG | BROADCAST: {"type": "player_joined", "id": 2, "active_players": [1, 2], "player_names": {}}
2026-09-01 15:55:15,904 | Thread-30 (process_request_thread) | DEBUG | RECV from P2: {"type": "lock_in", "class": 1}
2026-09-01 15:55:15,904 | Thread-30 (process_request_thread) | INFO | [MERGED-WS] P2 LOCKED IN as class 1
2026-09-01 15:55:15,904 | Thread-30 (process_request_thread) | DEBUG | BROADCAST: {"type": "lock_in", "class": 1, "sender": 2}
2026-09-01 15:55:15,936 | Thread-31 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 59304)
2026-09-01 15:55:16,123 | Thread-32 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 59310)
2026-09-01 15:55:16,151 | Thread-31 (process_request_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 15:55:16,151 | Thread-31 (process_request_thread) | INFO | [MERGED-WS] Spectator JOINED as P3
2026-09-01 15:55:16,152 | Thread-31 (process_request_thread) | DEBUG | BROADCAST: {"type": "player_joined", "id": 3, "active_players": [1, 2, 3], "player_names": {}}
2026-09-01 15:55:16,152 | Thread-31 (process_request_thread) | DEBUG | RECV from P3: {"type": "lock_in", "class": 3}
2026-09-01 15:55:16,152 | Thread-31 (process_request_thread) | INFO | [MERGED-WS] P3 LOCKED IN as class 3
2026-09-01 15:55:16,152 | Thread-31 (process_request_thread) | DEBUG | BROADCAST: {"type": "lock_in", "class": 3, "sender": 3}
2026-09-01 15:55:16,256 | Thread-32 (process_request_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 15:55:16,256 | Thread-32 (process_request_thread) | INFO | [MERGED-WS] Spectator JOINED as P4
2026-09-01 15:55:16,256 | Thread-32 (process_request_thread) | DEBUG | BROADCAST: {"type": "player_joined", "id": 4, "active_players": [1, 2, 3, 4], "player_names": {}}
2026-09-01 15:55:16,256 | Thread-32 (process_request_thread) | DEBUG | RECV from P4: {"type": "lock_in", "class": 2}
2026-09-01 15:55:16,256 | Thread-32 (process_request_thread) | INFO | [MERGED-WS] P4 LOCKED IN as class 2
2026-09-01 15:55:16,257 | Thread-32 (process_request_thread) | DEBUG | BROADCAST: {"type": "lock_in", "class": 2, "sender": 4}
2026-09-01 15:55:16,342 | Thread-33 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 59314)
2026-09-01 15:55:16,810 | Thread-34 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 59320)
2026-09-01 15:55:17,019 | Thread-35 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('127.0.0.1', 59324)
2026-09-01 15:55:17,070 | Thread-34 (process_request_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 15:55:17,258 | Thread-30 (process_request_thread) | DEBUG | RECV from P2: {"type": "player_died", "victim": 2, "killer": 2}
2026-09-01 15:55:17,258 | Thread-30 (process_request_thread) | INFO | [MERGED-WS] P2 was KILLED by P2
2026-09-01 15:55:17,258 | Thread-30 (process_request_thread) | DEBUG | BROADCAST: {"type": "player_died", "victim": 2, "killer": 2, "stock": 3}
2026-09-01 15:55:17,284 | Thread-33 (process_request_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 15:55:17,829 | Thread-35 (process_request_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 15:55:19,259 | Thread-32 (process_request_thread) | DEBUG | RECV from P4: {"type": "player_died", "victim": 4, "killer": 0}
2026-09-01 15:55:19,259 | Thread-32 (process_request_thread) | INFO | [MERGED-WS] P4 was KILLED by P0
2026-09-01 15:55:19,301 | Thread-31 (process_request_thread) | DEBUG | RECV from P3: {"type": "player_died", "victim": 3, "killer": 0}
2026-09-01 15:55:19,301 | Thread-31 (process_request_thread) | INFO | [MERGED-WS] P3 was KILLED by P0
2026-09-01 15:55:42,096 | Thread-34 (process_request_thread) | INFO | [MERGED-WS] Spectator LEFT
2026-09-01 16:12:55,031 | MainThread | INFO | 
============================================================
2026-09-01 16:12:55,031 | MainThread | INFO |   TOWERBRAWL — 4-Player Family Server
2026-09-01 16:12:55,031 | MainThread | INFO |   Phones / tablets  -> https://192.168.4.21:8443
2026-09-01 16:12:55,031 | MainThread | INFO |   PC / browser      -> http://192.168.4.21:8000
2026-09-01 16:12:55,031 | MainThread | INFO |   WS + WSS share ONE lobby. Everyone sees everyone.
2026-09-01 16:12:55,031 | MainThread | INFO | ============================================================

2026-09-01 16:12:55,031 | Thread-1 (start_ws) | INFO | WS  relay → ws://0.0.0.0:8081
2026-09-01 16:12:55,032 | Thread-2 (start_wss) | INFO | WSS relay → wss://0.0.0.0:8444
2026-09-01 16:12:56,989 | Thread-4 (process_request_thread) | INFO | [MERGED-WS] Spectator CONNECTED  addr=('192.168.4.21', 46308)
2026-09-01 16:13:02,504 | Thread-5 (ws_client_thread) | INFO | [WS] Spectator CONNECTED  addr=('127.0.0.1', 36712)
2026-09-01 16:13:02,504 | Thread-5 (ws_client_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 16:13:02,504 | Thread-5 (ws_client_thread) | INFO | [WS] Spectator JOINED as P1
2026-09-01 16:13:02,504 | Thread-5 (ws_client_thread) | DEBUG | BROADCAST: {"type": "player_joined", "id": 1, "active_players": [1], "player_names": {}}
2026-09-01 16:13:02,504 | Thread-5 (ws_client_thread) | DEBUG | RECV from P1: {"type": "lock_in", "class": 1}
2026-09-01 16:13:02,504 | Thread-5 (ws_client_thread) | INFO | [WS] P1 LOCKED IN as class 1
2026-09-01 16:13:02,504 | Thread-5 (ws_client_thread) | DEBUG | BROADCAST: {"type": "lock_in", "class": 1, "sender": 1}
2026-09-01 16:13:03,004 | Thread-6 (ws_client_thread) | INFO | [WS] Spectator CONNECTED  addr=('127.0.0.1', 36726)
2026-09-01 16:13:03,004 | Thread-6 (ws_client_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 16:13:03,004 | Thread-6 (ws_client_thread) | INFO | [WS] Spectator JOINED as P2
2026-09-01 16:13:03,004 | Thread-6 (ws_client_thread) | DEBUG | BROADCAST: {"type": "player_joined", "id": 2, "active_players": [1, 2], "player_names": {}}
2026-09-01 16:13:03,004 | Thread-6 (ws_client_thread) | DEBUG | RECV from P2: {"type": "lock_in", "class": 2}
2026-09-01 16:13:03,005 | Thread-6 (ws_client_thread) | INFO | [WS] P2 LOCKED IN as class 2
2026-09-01 16:13:03,005 | Thread-6 (ws_client_thread) | DEBUG | BROADCAST: {"type": "lock_in", "class": 2, "sender": 2}
2026-09-01 16:13:03,204 | Thread-7 (ws_client_thread) | INFO | [WS] Spectator CONNECTED  addr=('127.0.0.1', 36742)
2026-09-01 16:13:03,204 | Thread-7 (ws_client_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 16:13:03,204 | Thread-7 (ws_client_thread) | INFO | [WS] Spectator JOINED as P3
2026-09-01 16:13:03,204 | Thread-7 (ws_client_thread) | DEBUG | BROADCAST: {"type": "player_joined", "id": 3, "active_players": [1, 2, 3], "player_names": {}}
2026-09-01 16:13:03,204 | Thread-7 (ws_client_thread) | DEBUG | RECV from P3: {"type": "lock_in", "class": 2}
2026-09-01 16:13:03,204 | Thread-7 (ws_client_thread) | INFO | [WS] P3 LOCKED IN as class 2
2026-09-01 16:13:03,204 | Thread-7 (ws_client_thread) | DEBUG | BROADCAST: {"type": "lock_in", "class": 2, "sender": 3}
2026-09-01 16:13:03,405 | Thread-8 (ws_client_thread) | INFO | [WS] Spectator CONNECTED  addr=('127.0.0.1', 36758)
2026-09-01 16:13:03,405 | Thread-8 (ws_client_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 16:13:03,405 | Thread-8 (ws_client_thread) | INFO | [WS] Spectator JOINED as P4
2026-09-01 16:13:03,405 | Thread-8 (ws_client_thread) | DEBUG | BROADCAST: {"type": "player_joined", "id": 4, "active_players": [1, 2, 3, 4], "player_names": {}}
2026-09-01 16:13:03,446 | Thread-8 (ws_client_thread) | DEBUG | RECV from P4: {"type": "lock_in", "class": 2}
2026-09-01 16:13:03,446 | Thread-8 (ws_client_thread) | INFO | [WS] P4 LOCKED IN as class 2
2026-09-01 16:13:03,446 | Thread-8 (ws_client_thread) | DEBUG | BROADCAST: {"type": "lock_in", "class": 2, "sender": 4}
2026-09-01 16:13:04,447 | Thread-5 (ws_client_thread) | DEBUG | RECV from P1: {"type": "force_start"}
2026-09-01 16:13:04,447 | Thread-5 (ws_client_thread) | DEBUG | BROADCAST: {"type": "force_start", "sender": 1}
2026-09-01 16:13:05,448 | Thread-5 (ws_client_thread) | DEBUG | RECV from P1: {"type": "force_start"}
2026-09-01 16:13:05,448 | Thread-5 (ws_client_thread) | DEBUG | BROADCAST: {"type": "force_start", "sender": 1}
2026-09-01 16:13:06,449 | Thread-5 (ws_client_thread) | DEBUG | RECV from P1: {"type": "force_start"}
2026-09-01 16:13:06,449 | Thread-5 (ws_client_thread) | DEBUG | BROADCAST: {"type": "force_start", "sender": 1}
2026-09-01 16:13:07,450 | Thread-5 (ws_client_thread) | DEBUG | RECV from P1: {"type": "force_start"}
2026-09-01 16:13:07,450 | Thread-5 (ws_client_thread) | DEBUG | BROADCAST: {"type": "force_start", "sender": 1}
2026-09-01 16:13:08,452 | Thread-5 (ws_client_thread) | DEBUG | RECV from P1: {"type": "force_start"}
2026-09-01 16:13:08,452 | Thread-5 (ws_client_thread) | DEBUG | BROADCAST: {"type": "force_start", "sender": 1}
2026-09-01 16:13:09,453 | Thread-5 (ws_client_thread) | DEBUG | RECV from P1: {"type": "force_start"}
2026-09-01 16:13:09,454 | Thread-5 (ws_client_thread) | DEBUG | BROADCAST: {"type": "force_start", "sender": 1}
2026-09-01 16:13:10,455 | Thread-5 (ws_client_thread) | DEBUG | RECV from P1: {"type": "force_start"}
2026-09-01 16:13:10,455 | Thread-5 (ws_client_thread) | DEBUG | BROADCAST: {"type": "force_start", "sender": 1}
2026-09-01 16:13:11,456 | Thread-5 (ws_client_thread) | DEBUG | RECV from P1: {"type": "force_start"}
2026-09-01 16:13:11,456 | Thread-5 (ws_client_thread) | DEBUG | BROADCAST: {"type": "force_start", "sender": 1}
2026-09-01 16:13:12,457 | Thread-5 (ws_client_thread) | DEBUG | RECV from P1: {"type": "force_start"}
2026-09-01 16:13:12,457 | Thread-5 (ws_client_thread) | DEBUG | BROADCAST: {"type": "force_start", "sender": 1}
2026-09-01 16:13:13,405 | Thread-9 (ws_client_thread) | INFO | [WS] Spectator CONNECTED  addr=('127.0.0.1', 57460)
2026-09-01 16:13:13,405 | Thread-9 (ws_client_thread) | DEBUG | RECV from PNone: {"type": "request_join"}
2026-09-01 16:13:13,458 | Thread-5 (ws_client_thread) | DEBUG | RECV from P1: {"type": "force_start"}
2026-09-01 16:13:13,458 | Thread-5 (ws_client_thread) | DEBUG | BROADCAST: {"type": "force_start", "sender": 1}
2026-09-01 16:13:14,459 | Thread-5 (ws_client_thread) | DEBUG | RECV from P1: {"type": "force_start"}
